input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
svc,svcbmt-1-l0.264,352x240,Constrained Baseline,1.3,402,200,200,0,0
svc,svcbmt-1-l1.264,352x240,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbmt-2.264,352x240,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbmt-2-l0.264,352x240,Constrained Baseline,1.3,402,200,200,0,0
svc,svcbmt-2-l1.264,352x240,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbmt-3.264,352x240,Constrained Baseline;Unspecified,1.3,939,662,662,0,0
svc,svcbmt-3-l0.264,352x240,Constrained Baseline,1.3,548,273,273,0,0
svc,svcbmt-3-l1.264,352x240,Constrained Baseline;Unspecified,1.3,939,662,662,0,0
svc,svcbmt-4.264,352x240,Constrained Baseline;Unspecified,1.3,959,679,679,0,0
svc,svcbmt-4-l0.264,352x240,Constrained Baseline,1.3,554,276,276,0,0
svc,svcbmt-4-l1.264,352x240,Constrained Baseline;Unspecified,1.3,959,679,679,0,0
svc,svcbmt-5.264,352x240,Constrained Baseline;Unspecified,1.3,1406,1000,1000,0,0
svc,svcbmt-5-l0.264,352x240,Constrained Baseline;Unspecified,1.3,806,400,400,0,0
svc,svcbmt-5-l1.264,352x240,Constrained Baseline;Unspecified,1.3,1406,1000,1000,0,0
svc,svcbmt-6.264,352x240,Constrained Baseline;Unspecified,1.3,1205,800,800,0,0
svc,svcbmt-6-l0.264,352x240,Constrained Baseline;Unspecified,1.3,805,400,400,0,0
svc,svcbmt-6-l1.264,352x240,Constrained Baseline;Unspecified,1.3,1205,800,800,0,0
svc,svcbmt-7.264,352x240,Constrained Baseline;Unspecified,1.3,1205,800,800,0,0
svc,svcbmt-7-l0.264,352x240,Constrained Baseline;Unspecified,1.3,805,400,400,0,0
svc,svcbmt-7-l1.264,352x240,Constrained Baseline;Unspecified,1.3,1205,800,800,0,0
svc,svcbmt-8.264,352x240,Constrained Baseline;Unspecified,1.3,969,688,688,0,0
svc,svcbmt-8-l0.264,352x240,Constrained Baseline,1.3,556,277,277,0,0
svc,svcbmt-8-l1.264,352x240,Constrained Baseline;Unspecified,1.3,969,688,688,0,0
svc,svcbmt-9.264,352x240,Constrained Baseline;Unspecified,1.3;2.2,917,636,636,0,0
svc,svcbmt-9-l0.264,352x240,Constrained Baseline,1.3,556,277,277,0,0
svc,svcbmt-9-l1.264,352x240,Constrained Baseline;Unspecified,1.3;2.2,917,636,636,0,0
svc,svcbs-1.264,176x144;352x288,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbs-1-l0.264,176x144,Constrained Baseline,1.3,402,200,200,0,0
svc,svcbs-1-l1.264,176x144;352x288,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbs-2.264,320x240;640x480,Constrained Baseline;Unspecified,1.3;3.0,2382,1783,1783,0,0
svc,svcbs-2-l0.264,320x240,Constrained Baseline,1.3,1192,595,595,0,0
svc,svcbs-2-l1.264,320x240;640x480,Constrained Baseline;Unspecified,1.3;3.0,2382,1783,1783,0,0
svc,svcbs-3.264,352x288;704x576,Constrained Baseline;Unspecified,1.3;3.1,96,60,60,0,0
svc,svcbs-3-l0.264,352x288,Constrained Baseline,1.3,63,30,30,0,0
svc,svcbs-3-l1.264,352x288;704x576,Constrained Baseline;Unspecified,1.3;3.1,96,60,60,0,0
svc,svcbs-4.264,320x240;640x480,Constrained Baseline;Unspecified,1.3;3.0,96,60,60,0,0
svc,svcbs-4-l0.264,320x240,Constrained Baseline,1.3,63,30,30,0,0
svc,svcbs-4-l1.264,320x240;640x480,Constrained Baseline;Unspecified,1.3;3.0,96,60,60,0,0
svc,svcbs-5.264,384x224;768x448,Constrained Baseline;Unspecified,1.3;3.0,96,60,60,0,0
svc,svcbs-5-l0.264,384x224,Constrained Baseline,1.3,63,30,30,0,0
svc,svcbs-5-l1.264,384x224;768x448,Constrained Baseline;Unspecified,1.3;3.0,96,60,60,0,0
